trade_date,open,high,low,close,volume
2023-11-13 16:00:00,36836.6,37032.4,35742.0,36143.9,12997.13367356
2023-11-14 16:00:00,36146.0,36422.4,34471.6,36411.9,17954.34329838
2023-11-15 16:00:00,36411.7,37967.9,36214.7,36401.9,20813.74077607
2023-11-16 16:00:00,36400.1,36671.0,35500.0,36042.8,15053.96700818
2023-11-17 16:00:00,36043.2,36896.6,35909.1,36665.7,10748.50811674
2023-11-18 16:00:00,36665.8,36850.0,36382.2,36571.1,3932.22485474
2023-11-19 16:00:00,36574.2,37500.0,36510.8,37462.7,11291.49104458
2023-11-20 16:00:00,37458.2,37758.0,36230.3,36974.9,17548.00820952
2023-11-21 16:00:00,36974.8,37516.3,35621.1,36480.1,17662.8800295
2023-11-22 16:00:00,36480.1,37868.0,36371.6,36949.4,15048.30626268
2023-11-23 16:00:00,36949.5,38424.6,36913.6,38216.7,12804.4111362
2023-11-24 16:00:00,38216.7,38350.0,37547.6,37702.1,7537.75841973
2023-11-25 16:00:00,37702.1,37888.0,37269.0,37439.7,4343.06131197
2023-11-26 16:00:00,37439.7,37750.0,36729.5,36748.9,13204.47702119
2023-11-27 16:00:00,36749.0,37579.3,36710.0,37517.5,9517.22023751
2023-11-28 16:00:00,37517.6,38487.0,37517.6,37826.9,15246.81303463
2023-11-29 16:00:00,37826.9,38144.0,37419.5,37616.6,8331.36841207
2023-11-30 16:00:00,37617.7,38842.1,37526.4,38413.5,11716.18919086
2023-12-01 16:00:00,38413.5,38989.7,38392.1,38808.0,7317.76033504
2023-12-02 16:00:00,38805.9,39828.5,38706.3,39765.5,10758.21882026
2023-12-03 16:00:00,39764.1,42155.0,39428.8,41270.1,25743.8075093
2023-12-04 16:00:00,41270.1,42500.0,41174.3,42264.9,15091.67535033
2023-12-05 16:00:00,42262.7,44496.2,42122.1,43778.2,29065.14169604
2023-12-06 16:00:00,43779.8,44145.7,42836.0,43656.8,13422.74324039
2023-12-07 16:00:00,43666.0,44035.7,43068.1,43757.2,11535.15874285
2023-12-08 16:00:00,43758.7,44726.8,43638.1,44047.4,9789.73666007
2023-12-09 16:00:00,44047.3,44094.1,43600.0,43911.7,7363.54133929
2023-12-10 16:00:00,43911.8,44050.0,40200.0,41801.0,23551.78299347
2023-12-11 16:00:00,41801.1,42100.0,40228.7,41353.9,20522.17010443
2023-12-12 16:00:00,41354.0,41961.8,40516.8,41935.5,12258.63570805
2023-12-13 16:00:00,41935.5,43500.0,41202.0,42445.6,19735.49717237
2023-12-14 16:00:00,42445.6,43436.7,41652.5,41901.0,13894.18214382
2023-12-15 16:00:00,41901.4,42608.6,41613.2,42602.8,8594.40447449
2023-12-16 16:00:00,42605.4,42717.4,41520.0,41809.8,6914.20951948
2023-12-17 16:00:00,41809.9,42430.0,40544.4,41266.8,15960.95375126
2023-12-18 16:00:00,41268.9,43487.5,41149.3,42483.0,15151.90417691
2023-12-19 16:00:00,42483.0,44300.0,41811.3,44037.4,15811.36652187
2023-12-20 16:00:00,44037.4,44256.8,43228.7,43823.6,14354.00138063
2023-12-21 16:00:00,43824.3,44406.3,43347.6,43671.3,11381.83540819
2023-12-22 16:00:00,43671.3,44045.4,43288.0,43755.8,6124.14379289
2023-12-23 16:00:00,43757.5,43944.3,43400.7,43680.2,4075.38630312
2023-12-24 16:00:00,43680.2,43807.9,42521.9,43616.8,9108.55490365
2023-12-25 16:00:00,43616.8,43718.5,42111.0,42392.8,10881.59404707
2023-12-26 16:00:00,42392.8,43227.7,41610.0,42977.9,13261.69180208
2023-12-27 16:00:00,42979.6,43788.6,42398.0,42444.9,10828.4778683
2023-12-28 16:00:00,42445.2,43113.6,42105.3,42266.2,13798.32152259
2023-12-29 16:00:00,42266.1,42449.6,41267.1,42374.8,12797.04888955
2023-12-30 16:00:00,42374.7,42888.0,41971.6,42457.5,9395.39501423
2023-12-31 16:00:00,42457.6,42848.0,42066.0,42782.8,6214.51469206
2024-01-01 16:00:00,42783.9,45884.6,42662.9,45183.9,22457.94120446
