timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2023-11-13 16:00:00,0.0,1000000.0,0.0,1000000.0,0.0
2023-11-14 16:00:00,0.0,1000000.0,0.0,1007414.8058178558,-0.007414805817855807
2023-11-15 16:00:00,0.0,1000000.0,0.0,1007138.1339589807,0.0002746354900458048
2023-11-16 16:00:00,0.0,1000000.0,0.0,997202.8475067716,0.00986486969086775
2023-11-17 16:00:00,0.0,1000000.0,0.0,1014436.7375961087,-0.01728223112521765
2023-11-18 16:00:00,0.0,1000000.0,0.0,1011819.4218111491,0.0025800680199750126
2023-11-19 16:00:00,0.0,1000000.0,0.0,1036487.4847484637,-0.024379906538222862
2023-11-20 16:00:00,0.0,1000000.0,0.0,1022991.4314725308,0.013020951506431566
2023-11-21 16:00:00,0.0,1000000.0,0.0,1009301.707895385,0.013382051067075351
2023-11-22 16:00:00,0.0,1000000.0,0.0,1022285.9182323992,-0.012864548068673098
2023-11-23 16:00:00,0.0,1000000.0,0.0,1057348.5429076555,-0.03429825653461216
2023-11-24 16:00:00,0.0,1000000.0,0.0,1043111.0090499369,0.013465317518257636
2023-11-25 16:00:00,0.0,1000000.0,0.0,1035851.1394730512,0.006959824519058633
2023-11-26 16:00:00,0.0,1000000.0,0.0,1016738.6474619511,0.01845100254542631
2023-11-27 16:00:00,0.0,1000000.0,0.0,1038003.6465351003,-0.020914911738854736
2023-11-28 16:00:00,0.0,1000000.0,0.0,1046563.8738486997,-0.00824681815152939
2023-11-29 16:00:00,0.0,1000000.0,0.0,1040745.4646565539,0.005559535674348193
2023-11-30 16:00:00,0.0,1000000.0,0.0,1062793.44509032,-0.021184796074073642
2023-12-01 16:00:00,0.0,1000000.0,0.0,1073708.1499229472,-0.010269827013940303
2023-12-02 16:00:00,0.0,1000000.0,0.0,1100199.4804102494,-0.024672747887033664
2023-12-03 16:00:00,0.0,1000000.0,0.0,1141827.5282966148,-0.037836818347562584
2023-12-04 16:00:00,0.0,1000000.0,0.0,1169350.8448175215,-0.024104618113355736
2023-12-05 16:00:00,0.0,1000000.0,0.0,1211219.5972211082,-0.03580512434667993
2023-12-06 16:00:00,0.0,1000000.0,0.0,1207860.8008543632,0.002773069701358044
2023-12-07 16:00:00,0.0,1000000.0,0.0,1210638.58631747,-0.0022997562808082517
2023-12-08 16:00:00,0.0,1000000.0,0.0,1218667.603662029,-0.0066320514109678985
2023-12-09 16:00:00,0.0,1000000.0,0.0,1214913.1665370923,0.0030807720773531333
2023-12-10 16:00:00,0.0,1000000.0,0.0,1156516.0372843,0.048066916106641266
2023-12-11 16:00:00,0.0,1000000.0,0.0,1144146.0384739889,0.01069591636563716
2023-12-12 16:00:00,0.0,1000000.0,0.0,1160237.2737861718,-0.014063969782777352
2023-12-13 16:00:00,0.0,1000000.0,0.0,1174350.3053073967,-0.012163918398492957
2023-12-14 16:00:00,0.0,1000000.0,0.0,1159282.7558730524,0.012830540739204976
2023-12-15 16:00:00,0.0,1000000.0,0.0,1178699.5869289155,-0.01674900360373277
2023-12-16 16:00:00,0.0,1000000.0,0.0,1156759.5085201105,0.01861380003192281
2023-12-17 16:00:00,0.0,1000000.0,0.0,1141736.2265831863,0.012987385732531553
2023-12-18 16:00:00,0.0,1000000.0,0.0,1175385.0580595902,-0.029471633371136008
2023-12-19 16:00:00,0.0,1000000.0,0.0,1218390.9318031543,-0.03658875314831822
2023-12-20 16:00:00,0.0,1000000.0,0.0,1212475.6874604018,0.004854964189529909
2023-12-21 16:00:00,0.0,1000000.0,0.0,1208261.9750497325,0.003475296415629825
2023-12-22 16:00:00,0.0,1000000.0,0.0,1210599.8522572282,-0.0019349091966578413
2023-12-23 16:00:00,0.0,1000000.0,0.0,1208508.2130041316,0.0017277709469374347
2023-12-24 16:00:00,0.0,1000000.0,0.0,1206754.113418863,0.0014514585555925885
2023-12-25 16:00:00,0.0,1000000.0,0.0,1172889.4778925362,0.02806258139065676
2023-12-26 16:00:00,0.0,1000000.0,0.0,1189077.5483553254,-0.013801872016002692
2023-12-27 16:00:00,0.0,1000000.0,0.0,1174330.9382772762,0.012401722745876365
2023-12-28 16:00:00,0.0,1000000.0,0.0,1169386.812159176,0.004210164236457259
2023-12-29 16:00:00,0.0,1000000.0,0.0,1172391.468546561,-0.002569429000004897
2023-12-30 16:00:00,0.0,1000000.0,0.0,1174679.544819459,-0.001951631630119799
2023-12-31 16:00:00,0.0,1000000.0,0.0,1183679.68038867,-0.007661779426485271
2024-01-01 16:00:00,0.0,1000000.0,0.0,1250111.3604231987,-0.056123021401123685
2024-01-02 16:00:00,-0.04959837737950856,950401.6226204914,-0.04959837737950857,1189298.8858424255,-0.0009527314746619053
2024-01-03 16:00:00,0.024831256994592987,974001.289559859,-0.025998710440141033,1218952.5756766715,-0.00010250035374670396
2024-01-04 16:00:00,-0.012753867236413696,961579.0064247168,-0.03842099357528321,1203528.119544378,-0.00010000650378350073
2024-01-05 16:00:00,0.00828929451333904,969549.8180068153,-0.03045018199318473,1213623.8756747348,-9.917266612213815e-05
2024-01-06 16:00:00,0.004072683414152012,973498.4874698056,-0.026501512530194362,1218686.9706921515,-9.91981044129453e-05
2024-01-07 16:00:00,0.020790176111259884,993737.6924683481,-0.006262307531651925,1244138.014990083,-9.381207438274863e-05
2024-01-08 16:00:00,0.042113086603230654,1035587.0539721622,0.0,1296636.5002116556,-8.358658659313178e-05
2024-01-09 16:00:00,-0.02824699221982474,1006334.8345156593,-0.028246992219824785,1260157.3156189579,-0.00011329045626728984
2024-01-10 16:00:00,0.02689449346063344,1033399.7001417483,-0.002112187306729977,1294154.7536375446,-8.423181216166142e-05
2024-01-11 16:00:00,-0.049485540982081355,982261.3569295133,-0.05149320555728227,1230285.0550162005,-0.0001330980521903058
2024-01-12 16:00:00,-0.029658052274613156,953129.3982583653,-0.07962406964969013,1193949.739790118,-0.00012399016605246782
2024-01-13 16:00:00,-0.005847710234067827,947555.773721779,-0.08500616139678932,1187093.81112719,-0.00010548471615512423
2024-01-14 16:00:00,-0.014749630874146713,933579.6758267162,-0.09850198276830528,1169721.5851084152,-0.00011538221078355448
2024-01-15 16:00:00,0.02299758552258324,955049.7542636866,-0.07776970501858024,1196708.158223104,-7.335157753662891e-05
