timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2024-01-02,BTC-USDT,buy,45206.592,22.109607,signal,0.0,0,0.0
2024-01-25,BTC-USDT,sell,39781.1995,22.109607,signal,-119953.2971,23,-12.0
2024-02-12,BTC-USDT,buy,49942.2587,17.555315,signal,0.0,0,0.0
2024-04-18,BTC-USDT,sell,63466.4509,17.555315,signal,237421.4551,66,27.08
2024-05-24,BTC-USDT,buy,68366.166,16.177574,signal,0.0,0,0.0
2024-06-25,BTC-USDT,sell,61789.7896,16.177574,signal,-106389.8151,32,-9.62
2024-07-28,BTC-USDT,buy,67683.825,14.707164,signal,0.0,0,0.0
2024-08-15,BTC-USDT,sell,59646.162,14.707164,signal,-118211.2279,18,-11.88
2024-09-26,BTC-USDT,buy,65266.617,13.406868,signal,0.0,0,0.0
2024-12-31,BTC-USDT,sell,94442.9,13.406868,end_of_backtest,391162.5749,96,44.7
